1,"MIT","Midway Islands Time","GMT-11:00","-11"
2,"HST","Hawaii Standard Time","GMT-10:00","-10"
3,"AST","Alaska Standard Time","GMT-9:00","-9"
4,"PST","Pacific Standard Time","GMT-8:00","-8"
5,"PNT","Phoenix Standard Time","GMT-7:00","-7"
6,"MST","Mountain Standard Time","GMT-7:00","-7"
7,"CST","Central Standard Time","GMT-6:00","-6"
8,"IET","Indiana Eastern Standard Time","GMT-5:00","-5"
9,"EST","Eastern Standard Time","GMT-5:00","-5"
10,"PRT","Puerto Rico and US Virgin Islands Time","GMT-4:00","-4"
11,"CNT","Canada Newfoundland Time","GMT-3:30","-3.5"
12,"BET","Brazil Eastern Time","GMT-3:00","-3"
13,"AGT","Argentina Standard Time","GMT-3:00","-3"
14,"CAT","Central African Time","GMT-1:00","-1"
15,"GMT","Greenwich Mean Time","GMT","0"
16,"ECT","European Central Time","GMT+1:00","1"
17,"EET","Eastern European Time","GMT+2:00","2"
18,"ART","(Arabic) Egypt Standard Time","GMT+2:00","2"
19,"EAT","Eastern African Time","GMT+3:00","3"
20,"MET","Middle East Time","GMT+3:30","4"
21,"NET","Near East Time","GMT+4:00","5"
22,"PLT","Pakistan Lahore Time","GMT+5:00","5"
23,"IST","India Standard Time","GMT+5:30","5.5"
24,"BST","Bangladesh Standard Time","GMT+6:00","6"
25,"VST","Vietnam Standard Time","GMT+7:00","7"
26,"CTT","China Taiwan Time","GMT+8:00","8"
27,"JST","Japan Standard Time","GMT+9:00","9"
28,"ACT","Australia Central Time","GMT+9:30","9.5"
29,"AET","Australia Eastern Time","GMT+10:00","10"
30,"SST","Solomon Standard Time","GMT+11:00","11"
31,"NST","New Zealand Standard Time","GMT+12:00","12"
